Time	(16) Kp*error	(21) Kd*de/dt	(22) Kp*e+Kd*de/dt CW	
0.0814	-0.05929061	-0.05916391	-0.058291	
0.0816	-0.05929042	-0.05916403	-0.05829102	
0.0818	-0.05929024	-0.05916414	-0.05829103	
0.08199999	-0.05929005	-0.05916426	-0.05829103	
0.0822	-0.05928987	-0.05916436	-0.05829103	
0.0824	-0.05928968	-0.05916447	-0.05829101	
0.0826	-0.05928949	-0.05916457	-0.05829099	
0.0828	-0.05928931	-0.05916467	-0.05829097	
0.083	-0.05928914	-0.05916477	-0.05829093	
0.0832	-0.05928896	-0.05916486	-0.05829089	
0.0834	-0.05928879	-0.05916494	-0.05829085	
0.0836	-0.05928862	-0.05916503	-0.0582908	
0.0838	-0.05928846	-0.05916511	-0.05829075	
0.084	-0.05928831	-0.05916518	-0.05829069	
0.08419999	-0.05928816	-0.05916525	-0.05829063	
0.0844	-0.05928802	-0.05916532	-0.05829057	
0.0846	-0.05928788	-0.05916538	-0.0582905	
0.0848	-0.05928775	-0.05916545	-0.05829044	
0.085	-0.05928763	-0.05916551	-0.05829037	
0.0852	-0.05928751	-0.05916556	-0.05829031	
0.0854	-0.0592874	-0.05916562	-0.05829024	
0.0856	-0.05928729	-0.05916567	-0.05829018	
0.0858	-0.05928718	-0.05916572	-0.05829011	
0.086	-0.05928709	-0.05916577	-0.05829005	
0.0862	-0.059287	-0.05916581	-0.05828998	
0.08639999	-0.05928691	-0.05916586	-0.05828992	
0.0866	-0.05928683	-0.0591659	-0.05828986	
0.08679999	-0.05928675	-0.05916594	-0.0582898	
0.087	-0.05928668	-0.05916598	-0.05828974	
0.0872	-0.05928661	-0.05916603	-0.05828968	
0.0874	-0.05928655	-0.05916607	-0.05828963	
0.0876	-0.05928649	-0.05916611	-0.05828958	
0.0878	-0.05928643	-0.05916615	-0.05828954	
0.088	-0.05928638	-0.05916619	-0.05828949	
0.0882	-0.05928633	-0.05916624	-0.05828945	
0.0884	-0.05928629	-0.05916628	-0.05828942	
0.08859999	-0.05928624	-0.05916632	-0.05828938	
0.0888	-0.05928621	-0.05916637	-0.05828935	
0.08899999	-0.05928617	-0.05916641	-0.05828932	
0.0892	-0.05928613	-0.05916646	-0.0582893	
0.0894	-0.0592861	-0.05916651	-0.05828928	
0.0896	-0.05928607	-0.05916656	-0.05828926	
0.0898	-0.05928604	-0.05916661	-0.05828925	
0.09	-0.05928602	-0.05916667	-0.05828924	
0.0902	-0.05928599	-0.05916672	-0.05828924	
0.0904	-0.05928597	-0.05916678	-0.05828924	
0.0906	-0.05928595	-0.05916684	-0.05828924	
0.09079999	-0.05928593	-0.0591669	-0.05828924	
0.091	-0.05928591	-0.05916696	-0.05828926	
0.09119999	-0.0592859	-0.05916703	-0.05828927	
0.0914	-0.05928588	-0.05916709	-0.05828929	
0.0916	-0.05928587	-0.05916717	-0.05828931	
0.0918	-0.05928585	-0.05916724	-0.05828933	
0.092	-0.05928584	-0.05916731	-0.05828936	
0.0922	-0.05928583	-0.05916739	-0.05828939	
0.0924	-0.05928582	-0.05916746	-0.05828943	
0.0926	-0.05928581	-0.05916755	-0.05828947	
0.0928	-0.0592858	-0.05916763	-0.05828951	
0.09299999	-0.05928579	-0.05916771	-0.05828956	
0.0932	-0.05928579	-0.0591678	-0.05828961	
0.09339999	-0.05928578	-0.05916789	-0.05828967	
0.0936	-0.05928577	-0.05916798	-0.05828973	
0.0938	-0.05928577	-0.05916807	-0.05828978	
0.094	-0.05928576	-0.05916817	-0.05828985	
0.0942	-0.05928576	-0.05916827	-0.05828992	
0.0944	-0.05928575	-0.05916836	-0.05828999	
0.0946	-0.05928575	-0.05916847	-0.05829006	
0.0948	-0.05928574	-0.05916857	-0.05829014	
0.095	-0.05928574	-0.05916868	-0.05829022	
0.09519999	-0.05928573	-0.05916879	-0.0582903	
0.0954	-0.05928573	-0.05916889	-0.05829039	
0.09559999	-0.05928573	-0.05916901	-0.05829048	
0.0958	-0.05928573	-0.05916912	-0.05829057	
